conversation_id,user_id,session_id,timestamp,channel,language,device,user_type,conversation_turn,previous_utterance,utterance,extracted_entities,intent,topic_category,sentiment,urgency,bot_response,previous_bot_response,suggested_action,is_escalated,escalation_priority,confidence_score,response_time_ms
conv_1116,user_5120,sess_3946,2025-06-28T12:25:16.461629,chat,en,mobile,returning,1,,tysm,{},thanks,conversation_flow,positive,high,Glad I could help! That's what I'm here for. Anything else you need?,,check_if_resolved,no,P4,0.7067285048557477,1050
conv_1394,user_6189,sess_3951,2025-07-01T12:25:16.470745,chat,en,desktop,new,1,,crypto price,{},out_of_scope,out_of_scope,positive,high,"That's an interesting question! Unfortunately it's a bit outside my area of expertise, but I'm happy to help with anything support-related.",,request_clarification,no,P4,0.954194043581108,1506
conv_295,user_8135,sess_3954,2025-05-04T12:25:16.433909,email,en,tablet,new,1,,payment declined,{},billing_issue,billing_and_payments,neutral,low,I'll review your billing history now. It may take a moment to pull up all the details.,,review_billing_account,no,P4,0.8091800677532741,961
conv_1044,user_3252,sess_3959,2025-05-22T12:25:16.458649,mobile_app,en,desktop,new,1,,closing chat,{},goodbye,conversation_flow,positive,high,Thanks for chatting with us! Don't hesitate to come back if you need anything. Goodbye!,,close_session,no,P4,0.8793959289818953,1016
conv_1266,user_3976,sess_3960,2025-08-25T12:25:16.466571,mobile_app,en,mobile,new,1,,package lost,{},shipping_info,order_management,positive,medium,Great news — we offer several shipping methods including same-day in select areas. Want me to check your location?,,fetch_shipping_rates,no,P3,0.8529897595302058,1030
conv_1126,user_1802,sess_3960,2026-01-17T12:25:16.461969,mobile_app,en,desktop,returning,2,package lost,i appreciate your time,{},thanks,conversation_flow,negative,low,Of course. I hope we can do better for you in the future. Please let us know if anything else comes up.,Great news — we offer several shipping methods including same-day in select areas. Want me to check your location?,check_if_resolved,no,P4,0.9457502017134886,1561
conv_75,user_8963,sess_3965,2026-01-03T12:25:16.426143,web,en,mobile,returning,1,,i lost my order confirmation,{},order_status,order_management,positive,low,Great news — your order has been dispatched and is on its way! You should receive it soon.,,lookup_order_by_id,no,P4,0.9423171272730348,610
conv_185,user_2011,sess_3965,2026-03-09T12:25:16.430295,chat,en,tablet,new,2,i lost my order confirmation,manufacturing defect,{},return_refund,order_management,negative,high,I'm sorry to hear you're not satisfied. I want to make this right — let me start the return process for you immediately.,Great news — your order has been dispatched and is on its way! You should receive it soon.,initiate_return_flow,yes,P1,0.9065679718337876,850
conv_1183,user_4679,sess_3966,2025-08-14T12:25:16.463931,web,en,tablet,new,1,,international shipping,{},shipping_info,order_management,positive,low,We ship to most locations! Standard shipping is free on orders over a set amount. Would you like the full breakdown?,,fetch_shipping_rates,no,P4,0.7671791423314053,1972
conv_659,user_9914,sess_3985,2026-03-07T12:25:16.446351,chat,en,mobile,returning,1,,opening hours,{},appointment_booking,scheduling,neutral,medium,"Let me check availability. What date were you thinking, and do you have a time preference?",,check_availability_calendar,no,P3,0.7832060912412953,615
conv_686,user_3376,sess_3991,2025-10-17T12:25:16.447206,email,en,mobile,returning,1,,appointment address,{},appointment_booking,scheduling,neutral,low,"I can book an appointment for you. Please share your preferred date, time, and the type of appointment needed.",,check_availability_calendar,no,P4,0.7506806149873432,1149
conv_1104,user_1535,sess_3992,2025-09-21T12:25:16.461176,chat,en,mobile,returning,1,,amazing service,{},thanks,conversation_flow,negative,high,Of course. I hope we can do better for you in the future. Please let us know if anything else comes up.,,check_if_resolved,yes,P1,0.7339768615602851,856
conv_1175,user_2693,sess_4001,2026-01-13T12:25:16.463674,email,en,tablet,new,1,,free shipping for ORD-667600,{"order_id": "ORD-667600"},shipping_info,order_management,neutral,low,We ship via several carriers. Delivery times depend on your location. Would you like to enter your postcode for an estimate?,,fetch_shipping_rates,no,P4,0.9786705437608246,1009
conv_1501,user_7450,sess_4001,2026-04-27T15:50:30.118784,web,en,mobile,returning,2,free shipping for ORD-667600,cancel order ORD-742526,"{""order_id"": ""ORD-742526"", ""action"": ""cancel""}",cancellation,order_management,positive,medium,"No problem! If your order hasn't been dispatched yet, I can cancel it right now. Could you confirm the order number?",We ship via several carriers. Delivery times depend on your location. Would you like to enter your postcode for an estimate?,check_cancellation_eligibility,no,P3,0.88,1105
conv_857,user_5484,sess_4002,2025-11-16T12:25:16.452619,email,en,desktop,new,1,,this product is terrible,{},feedback,feedback_and_general,positive,low,We really appreciate your feedback! It motivates us to keep delivering the best service possible.,,log_feedback_ticket,no,P4,0.7745993113026994,997
conv_99,user_9733,sess_4009,2025-10-17T12:25:16.427280,chat,en,mobile,returning,1,,ORD-133735 - how to return,"{""order_id"": ""ORD-133735"", ""action"": ""refund""}",return_refund,order_management,positive,medium,No problem at all! Just provide your order number and the item(s) you'd like to return and I'll get the process started.,,initiate_return_flow,no,P3,0.98665933889276,704
conv_986,user_7215,sess_4012,2025-08-01T12:25:16.456764,email,en,tablet,new,1,,i need customer support,{},greeting,conversation_flow,negative,high,Hi there. I can tell something isn't right — let me do my best to resolve things for you today.,,present_main_menu,yes,P1,0.7033553819432359,662
conv_805,user_3474,sess_4022,2025-07-15T12:25:16.450988,web,en,desktop,returning,1,,maximum capacity,{},product_inquiry,product,positive,medium,"Happy to help! I can provide full product details, availability, and pricing. Which product caught your eye?",,fetch_product_details,no,P3,0.8632970603484373,1855
conv_419,user_4642,sess_4029,2025-07-10T12:25:16.438131,chat,en,tablet,returning,1,,broken link,{},technical_support,technical,negative,medium,I apologize for the trouble you're having. I'm going to connect you with a specialist who can resolve this quickly.,,run_diagnostic_check,no,P3,0.9096742279099318,1675
conv_900,user_7934,sess_4030,2026-03-03T12:25:16.453992,chat,en,desktop,new,1,,rate out of five,{},feedback,feedback_and_general,positive,low,Thank you so much for the positive feedback! We're thrilled to hear you're happy with the experience.,,log_feedback_ticket,no,P4,0.875417645174202,527
conv_1475,user_8850,sess_4042,2025-09-08T12:25:16.473374,chat,en,tablet,new,1,,what is tiktok,{},out_of_scope,out_of_scope,positive,medium,"Good question, but that's outside what I can assist with right now. Is there anything else I can help you with today?",,request_clarification,no,P3,0.7868195552593624,1341
conv_611,user_7683,sess_4045,2026-02-28T12:25:16.444722,chat,en,tablet,returning,1,,schedule meeting,{},appointment_booking,scheduling,positive,high,Great! I'd be happy to book an appointment for you. What date and time works best for you?,,check_availability_calendar,no,P4,0.8970179463379052,880
conv_375,user_3477,sess_4062,2025-09-24T12:25:16.436678,chat,en,desktop,new,1,,change billing address,{},billing_issue,billing_and_payments,neutral,medium,"Let me check your account. To verify your identity, could you confirm the email address on file?",,review_billing_account,no,P3,0.8630476169620989,808
conv_33,user_6432,sess_4070,2025-10-10T12:25:16.424501,chat,en,tablet,new,1,,late delivery,{},order_status,order_management,neutral,high,Your order status shows it's processing. Expected delivery is 3–5 business days from dispatch.,,lookup_order_by_id,no,P4,0.906069863419764,1617
conv_139,user_2180,sess_4070,2025-11-22T12:25:16.428716,chat,en,tablet,returning,2,late delivery,i dont want this anymore,{},return_refund,order_management,neutral,medium,I've noted your return request. Please confirm the items and reason and I'll initiate the process for you.,Your order status shows it's processing. Expected delivery is 3–5 business days from dispatch.,initiate_return_flow,no,P3,0.7834013546930566,1921
conv_1351,user_5730,sess_4076,2026-04-05T12:25:16.469244,email,en,desktop,new,1,,this is ridiculous,{},human_agent,escalation,negative,medium,I'm so sorry for the difficulty. I'm escalating this to a live agent right now who will handle your case urgently.,,transfer_to_live_agent,yes,P2,0.794546221125368,1019
conv_1253,user_4423,sess_4078,2026-02-05T12:25:16.466158,web,en,tablet,returning,1,,delivery to neighbor order number ORD-462673,{"order_id": "ORD-462673"},shipping_info,order_management,neutral,low,"Here's our shipping info: standard delivery takes 3–5 business days, and express takes 1–2 business days.",,fetch_shipping_rates,no,P4,0.9343490182232246,1342
conv_1464,user_3079,sess_4086,2025-08-10T12:25:16.473026,email,en,mobile,returning,1,,how to start a business,{},out_of_scope,out_of_scope,neutral,high,"I'm not sure I can help with that specific request. I'm best equipped to assist with orders, accounts, and product queries.",,request_clarification,no,P4,0.9459506665685118,1269
conv_420,user_5727,sess_4091,2026-04-06T12:25:16.438162,mobile_app,en,mobile,new,1,,feature not working,{},technical_support,technical,neutral,high,I can help you with the technical issue. Please describe what's happening and I'll walk you through the steps.,,run_diagnostic_check,no,P4,0.7671954304804094,599
conv_832,user_4658,sess_4097,2025-07-24T12:25:16.451837,email,en,mobile,returning,1,,survey response,{},feedback,feedback_and_general,positive,low,That's wonderful to hear! Your kind words mean a lot to the whole team. We'll keep up the good work!,,log_feedback_ticket,no,P4,0.9808044346122796,1433
conv_1392,user_9135,sess_4098,2025-12-11T12:25:16.470678,web,en,mobile,new,1,,stock price,{},out_of_scope,out_of_scope,negative,high,"I'm sorry about that. While I can't assist with this specific topic, I want to make sure your issue gets resolved.",,request_clarification,yes,P1,0.9601285386756466,1465
conv_1190,user_4475,sess_4100,2025-05-31T12:25:16.464155,email,en,tablet,returning,1,,shipping policy,{},shipping_info,order_management,neutral,low,Shipping costs vary based on weight and destination. I can provide an exact quote if you share your delivery address.,,fetch_shipping_rates,no,P4,0.8143791146860241,1001
conv_846,user_5442,sess_4102,2025-09-08T12:25:16.452276,web,en,desktop,returning,1,,i want to complain,{},feedback,feedback_and_general,positive,low,That's wonderful to hear! Your kind words mean a lot to the whole team. We'll keep up the good work!,,log_feedback_ticket,no,P4,0.8192823820916185,581
conv_684,user_3334,sess_4106,2025-10-05T12:25:16.447143,web,en,mobile,new,1,,parking at appointment location,{},appointment_booking,scheduling,neutral,medium,"Let me check availability. What date were you thinking, and do you have a time preference?",,check_availability_calendar,no,P3,0.7803685821766205,1400
conv_1255,user_9896,sess_4112,2025-07-10T12:25:16.466219,chat,en,desktop,new,1,,leave with neighbor,{},shipping_info,order_management,positive,low,We ship to most locations! Standard shipping is free on orders over a set amount. Would you like the full breakdown?,,fetch_shipping_rates,no,P4,0.8817698760551561,1701
conv_1314,user_1425,sess_4117,2025-09-10T12:25:16.468079,mobile_app,en,desktop,new,1,,put me through to an agent,{},human_agent,escalation,neutral,low,Connecting you to a human agent. Please hold on while I transfer the conversation.,,transfer_to_live_agent,yes,P2,0.9531046647618372,952
conv_1265,user_7680,sess_4120,2025-12-22T12:25:16.466539,web,en,desktop,new,1,,my order ORD-392970 lost in transit,{"order_id": "ORD-392970"},shipping_info,order_management,negative,high,I'm sorry you're having trouble with shipping. Let me look into the details of your delivery right away.,,fetch_shipping_rates,yes,P1,0.8443701518199502,1523
conv_1131,user_3377,sess_4120,2026-04-18T12:25:16.462136,chat,en,desktop,returning,2,my order ORD-392970 lost in transit,you have been amazing,{},thanks,conversation_flow,positive,low,You're very welcome! It was my pleasure to help. Is there anything else I can do for you?,I'm sorry you're having trouble with shipping. Let me look into the details of your delivery right away.,check_if_resolved,no,P4,0.7208475770316882,1943
conv_1263,user_8760,sess_4133,2026-03-24T12:25:16.466476,email,en,tablet,new,1,,held at customs,{},shipping_info,order_management,neutral,low,We ship via several carriers. Delivery times depend on your location. Would you like to enter your postcode for an estimate?,,fetch_shipping_rates,no,P4,0.8430617714175684,947
conv_385,user_2331,sess_4135,2025-10-29T12:25:16.437014,email,en,tablet,returning,1,,error message,{},technical_support,technical,neutral,medium,"To diagnose the problem, could you let me know when the issue started and what error message you see?",,run_diagnostic_check,no,P3,0.7338490781724002,1910
conv_578,user_1270,sess_4137,2026-03-28T12:25:16.443218,mobile_app,en,desktop,returning,1,,update account email,{},account_help,account,neutral,high,I'll help you with your account. What specific action do you need to take?,,authenticate_and_load_account,no,P4,0.7465696156061234,1939
conv_1181,user_9096,sess_4138,2025-08-24T12:25:16.463868,chat,en,mobile,new,1,,next day delivery,{},shipping_info,order_management,positive,medium,Great news — we offer several shipping methods including same-day in select areas. Want me to check your location?,,fetch_shipping_rates,no,P3,0.976994400597853,1955
conv_50,user_8734,sess_4145,2025-10-17T12:25:16.425061,chat,en,mobile,returning,1,,what is my tracking number ORD-926115,{"order_id": "ORD-926115"},order_status,order_management,neutral,high,Your order status shows it's processing. Expected delivery is 3–5 business days from dispatch.,,lookup_order_by_id,no,P4,0.778436269741259,831
conv_680,user_3234,sess_4152,2025-09-17T12:25:16.447016,web,en,desktop,returning,1,,appointment for elderly parent,{},appointment_booking,scheduling,neutral,medium,I'll check the schedule. Could you confirm the service you need and your preferred appointment time?,,check_availability_calendar,no,P3,0.8335883643122339,1776
conv_1371,user_6972,sess_4154,2025-07-30T12:25:16.469971,web,en,tablet,new,1,,transfer me to a human representative,{},human_agent,escalation,positive,low,Sure! Let me transfer you to one of our support specialists. Your wait time is approximately 2–3 minutes.,,transfer_to_live_agent,yes,P2,0.8514203576112664,857
conv_1451,user_1885,sess_4166,2025-10-31T12:25:16.472612,email,en,desktop,returning,1,,how to invest money,{},out_of_scope,out_of_scope,neutral,medium,"I'm not sure I can help with that specific request. I'm best equipped to assist with orders, accounts, and product queries.",,request_clarification,no,P3,0.9188224152110268,1182
conv_993,user_4541,sess_4166,2026-03-16T12:25:16.456992,email,en,tablet,returning,2,how to invest money,i need to ask something,{},greeting,conversation_flow,neutral,high,Hello! Welcome to our support service. How can I assist you today?,"I'm not sure I can help with that specific request. I'm best equipped to assist with orders, accounts, and product queries.",present_main_menu,no,P4,0.9179443767377984,1036
conv_334,user_6356,sess_4169,2025-11-15T12:25:16.435339,chat,en,mobile,returning,1,,coupon not working,{},billing_issue,billing_and_payments,negative,high,I sincerely apologize for the billing error. I'm looking into this now and will ensure any incorrect charges are reversed.,,review_billing_account,yes,P1,0.7384158425346556,1371
conv_213,user_7661,sess_4183,2025-07-07T12:25:16.431220,email,en,mobile,returning,1,,ORD-256272 - can i still cancel,"{""order_id"": ""ORD-256272"", ""action"": ""cancel""}",cancellation,order_management,neutral,low,"Understood. Let me verify the order status — if it hasn't shipped yet, I'll cancel it immediately.",,check_cancellation_eligibility,no,P4,0.820355675306269,882
conv_918,user_4159,sess_4186,2025-10-04T12:25:16.454570,web,en,desktop,new,1,,follow up survey,{},feedback,feedback_and_general,negative,high,Thank you for bringing this to our attention. I sincerely apologize and want to assure you this will be addressed.,,log_feedback_ticket,yes,P1,0.7444365971169117,615
conv_1308,user_4855,sess_4186,2026-04-05T12:25:16.467889,mobile_app,en,tablet,new,2,follow up survey,connect me to a human,{},human_agent,escalation,neutral,high,I understand you'd like to speak with a human agent. I'm transferring you now — please hold.,Thank you for bringing this to our attention. I sincerely apologize and want to assure you this will be addressed.,transfer_to_live_agent,yes,P1,0.7203002498792036,1302
conv_1008,user_4272,sess_4199,2025-11-14T12:25:16.457482,web,en,tablet,returning,1,,is this customer service,{},greeting,conversation_flow,neutral,high,Hi! I'm your virtual assistant. What do you need help with today?,,present_main_menu,no,P4,0.8529049785277236,1364
conv_191,user_7649,sess_4206,2026-02-20T12:25:16.430490,chat,en,desktop,new,1,,poor quality product,{},return_refund,order_management,positive,high,Of course! I can help you start a return. Our policy allows returns within 30 days of delivery. Would you like me to initiate that?,,initiate_return_flow,no,P4,0.8275504862828442,1059
conv_603,user_5222,sess_4212,2026-01-02T12:25:16.444442,email,en,desktop,returning,1,,available times,{},appointment_booking,scheduling,positive,medium,Sure! We have slots available this week. Would morning or afternoon work better for you?,,check_availability_calendar,no,P3,0.905807837537292,1666
conv_498,user_9179,sess_4218,2025-09-19T12:25:16.440658,email,en,tablet,new,1,,login problem,{},account_help,account,neutral,high,"I can assist with your account. Could you specify what you need — password reset, profile update, or access issues?",,authenticate_and_load_account,no,P4,0.9800879768220514,1918
conv_718,user_8349,sess_4221,2026-02-04T12:25:16.448225,web,en,desktop,returning,1,,warranty info,{},product_inquiry,product,negative,low,I apologize for any confusion. I want to make sure you have all the information you need — what specifically were you looking for?,,fetch_product_details,no,P4,0.7189675326038373,989
conv_96,user_8978,sess_4226,2025-07-25T12:25:16.427170,mobile_app,en,tablet,new,1,,what is the arrival date,{},order_status,order_management,positive,low,Happy to help! I can see your order is currently being processed. Estimated delivery is within 3–5 business days.,,lookup_order_by_id,no,P4,0.7283463871518036,1686
conv_349,user_5654,sess_4226,2025-08-03T12:25:16.435827,chat,en,tablet,returning,2,what is the arrival date,i didnt authorize this charge,{},billing_issue,billing_and_payments,neutral,high,"I can investigate your billing concern. Could you provide more details about the issue — for example, the charge amount or date?",Happy to help! I can see your order is currently being processed. Estimated delivery is within 3–5 business days.,review_billing_account,no,P4,0.9645340844714412,1722
conv_1247,user_7679,sess_4237,2025-11-22T12:25:16.465970,chat,en,desktop,returning,1,,store pickup,{},shipping_info,order_management,positive,medium,Great news — we offer several shipping methods including same-day in select areas. Want me to check your location?,,fetch_shipping_rates,no,P3,0.9850139503337034,1785
conv_288,user_2977,sess_4240,2025-09-30T12:25:16.433669,web,en,desktop,returning,1,,extra charge,{},billing_issue,billing_and_payments,positive,medium,I can help with that billing question! Let me pull up your account and take a look.,,review_billing_account,no,P3,0.9839552921897744,1124
conv_780,user_2953,sess_4249,2026-03-20T12:25:16.450203,chat,en,tablet,returning,1,,frequently bought together,{},product_inquiry,product,positive,high,"Happy to help! I can provide full product details, availability, and pricing. Which product caught your eye?",,fetch_product_details,no,P4,0.9967190673423166,1872
conv_1295,user_8987,sess_4255,2026-03-26T12:25:16.467481,web,en,tablet,new,1,,bot is not helping,{},human_agent,escalation,negative,high,I completely understand — I'm immediately connecting you with a senior agent who will prioritize your case.,,transfer_to_live_agent,yes,P1,0.8067918710638168,677
conv_884,user_8567,sess_4260,2025-11-21T12:25:16.453474,chat,en,tablet,returning,1,,terrible service,{},feedback,feedback_and_general,positive,low,That's wonderful to hear! Your kind words mean a lot to the whole team. We'll keep up the good work!,,log_feedback_ticket,no,P4,0.7383640501772519,1163
conv_1065,user_1065,sess_4263,2026-02-14T12:25:16.459329,chat,en,mobile,new,1,,all good now,{},goodbye,conversation_flow,positive,low,Glad I could help! Take care and have a great day!,,close_session,no,P4,0.7842678908073543,1855
conv_1229,user_7579,sess_4269,2025-12-07T12:25:16.465401,chat,en,tablet,returning,1,,ship as gift,{},shipping_info,order_management,positive,high,Great news — we offer several shipping methods including same-day in select areas. Want me to check your location?,,fetch_shipping_rates,no,P4,0.8894093752496033,779
conv_604,user_2520,sess_4275,2025-08-02T12:25:16.444476,web,en,desktop,new,1,,book a slot,{},appointment_booking,scheduling,negative,medium,I understand your frustration. Let me personally arrange this appointment for you right now.,,check_availability_calendar,no,P3,0.8901732943287834,901
conv_1269,user_7136,sess_4280,2026-04-18T12:25:16.466665,mobile_app,en,tablet,returning,1,,insurance on shipment,{},shipping_info,order_management,negative,high,I apologize for the shipping inconvenience. I'm checking on the delay and will get back to you shortly.,,fetch_shipping_rates,yes,P1,0.7869859903651835,1775
conv_356,user_1232,sess_4281,2025-05-13T12:25:16.436062,mobile_app,en,mobile,new,1,,i want to dispute this,{},billing_issue,billing_and_payments,neutral,medium,"Let me check your account. To verify your identity, could you confirm the email address on file?",,review_billing_account,no,P3,0.7438881144783359,1684
conv_833,user_1629,sess_4286,2025-12-29T12:25:16.451868,chat,en,mobile,returning,1,,satisfaction rating,{},feedback,feedback_and_general,positive,medium,We really appreciate your feedback! It motivates us to keep delivering the best service possible.,,log_feedback_ticket,no,P3,0.9583364867491782,1997
conv_445,user_3399,sess_4287,2025-05-23T12:25:16.438960,email,en,mobile,new,1,,content not displaying,{},technical_support,technical,negative,low,I apologize for the trouble you're having. I'm going to connect you with a specialist who can resolve this quickly.,,run_diagnostic_check,no,P4,0.972066770767835,684
conv_553,user_9088,sess_4299,2026-01-19T12:25:16.442418,email,en,desktop,new,1,,my account was hacked,{},account_help,account,neutral,medium,I'll help you with your account. What specific action do you need to take?,,authenticate_and_load_account,no,P3,0.7392995234172252,1991
conv_150,user_9752,sess_4313,2025-09-22T12:25:16.429105,web,en,desktop,new,1,,order ORD-318352 return address,"{""order_id"": ""ORD-318352"", ""action"": ""refund""}",return_refund,order_management,positive,medium,Of course! I can help you start a return. Our policy allows returns within 30 days of delivery. Would you like me to initiate that?,,initiate_return_flow,no,P3,0.9563250622877144,1147
conv_769,user_4946,sess_4314,2025-06-29T12:25:16.449856,web,en,mobile,new,1,,assembly instructions,{},product_inquiry,product,neutral,low,Let me look that up for you. Could you share the product name or item code?,,fetch_product_details,no,P4,0.9317557347453777,609
conv_163,user_6096,sess_4317,2026-01-10T12:25:16.429542,chat,en,tablet,new,1,,my refund is taking too long,{"action": "refund"},return_refund,order_management,negative,low,That's really not the experience we want you to have. Let me get your refund sorted out right away.,,initiate_return_flow,no,P4,0.8627462308096691,791
conv_529,user_7417,sess_4321,2025-08-30T12:25:16.441657,chat,en,desktop,new,1,,verify my identity,{},account_help,account,neutral,high,"I can assist with your account. Could you specify what you need — password reset, profile update, or access issues?",,authenticate_and_load_account,no,P4,0.8352116587068641,707
conv_290,user_3860,sess_4329,2025-12-08T12:25:16.433738,email,en,mobile,returning,1,,unknown charge,{},billing_issue,billing_and_payments,negative,high,I sincerely apologize for the billing error. I'm looking into this now and will ensure any incorrect charges are reversed.,,review_billing_account,yes,P1,0.8662167002340407,865
conv_144,user_8315,sess_4330,2025-11-27T12:25:16.428888,mobile_app,en,mobile,new,1,,i need to send this back,{},return_refund,order_management,neutral,high,I can assist you with a return or refund. Please share your order number and reason for return so I can proceed.,,initiate_return_flow,no,P4,0.9248883700177052,1663
conv_1235,user_2477,sess_4331,2025-04-24T12:25:16.465590,mobile_app,en,tablet,new,1,,shipping notification,{},shipping_info,order_management,neutral,high,We ship via several carriers. Delivery times depend on your location. Would you like to enter your postcode for an estimate?,,fetch_shipping_rates,no,P4,0.7687974084192509,975
conv_1078,user_6476,sess_4332,2026-04-21T12:25:16.459746,web,en,mobile,returning,1,,alright bye,{},goodbye,conversation_flow,negative,medium,I'm sorry your experience wasn't better. Please reach out again — we'll prioritize your case.,,close_session,no,P3,0.9003866354825205,1880
conv_1280,user_8956,sess_4349,2025-11-16T12:25:16.467008,web,en,tablet,new,1,,i want to talk to someone,{},human_agent,escalation,positive,low,Absolutely! I'll get a human agent on the line for you now. Thank you for your patience.,,transfer_to_live_agent,yes,P2,0.7807628611577059,941
conv_223,user_5783,sess_4359,2025-11-02T12:25:16.431547,email,en,desktop,returning,1,,cancel for full refund,{"action": "cancel"},cancellation,order_management,neutral,medium,I can process a cancellation for you. Please provide your order number so I can check its current status.,,check_cancellation_eligibility,no,P3,0.7474444980730538,732
conv_314,user_1905,sess_4359,2026-01-04T12:25:16.434654,email,en,desktop,returning,2,cancel for full refund,dispute a charge,{},billing_issue,billing_and_payments,positive,medium,I can help with that billing question! Let me pull up your account and take a look.,I can process a cancellation for you. Please provide your order number so I can check its current status.,review_billing_account,no,P3,0.9229193459618212,1052
conv_227,user_1490,sess_4365,2025-05-22T12:25:16.431676,chat,en,tablet,returning,1,,cancel immediately,{"action": "cancel"},cancellation,order_management,neutral,medium,"Understood. Let me verify the order status — if it hasn't shipped yet, I'll cancel it immediately.",,check_cancellation_eligibility,no,P3,0.8653386598176939,1017
conv_843,user_3226,sess_4369,2025-04-24T12:25:16.452183,web,en,desktop,new,1,,rate this product,{},feedback,feedback_and_general,positive,high,That's wonderful to hear! Your kind words mean a lot to the whole team. We'll keep up the good work!,,log_feedback_ticket,no,P4,0.7461047591317886,1230
conv_1223,user_3745,sess_4373,2026-02-16T12:25:16.465214,email,en,mobile,new,1,,ship to military address for ORD-960751,{"order_id": "ORD-960751"},shipping_info,order_management,negative,high,I'm sorry you're having trouble with shipping. Let me look into the details of your delivery right away.,,fetch_shipping_rates,yes,P1,0.7265845648928666,716
conv_1013,user_1834,sess_4375,2025-08-11T12:25:16.457653,mobile_app,en,mobile,new,1,,hi can i get some assistance,{},greeting,conversation_flow,positive,high,Hi there! Welcome to our support service. What can I help you with?,,present_main_menu,no,P4,0.958831177259178,1949
conv_1006,user_7531,sess_4375,2026-01-25T12:25:16.457412,web,en,mobile,returning,2,hi can i get some assistance,returning customer here,{"action": "refund"},greeting,conversation_flow,negative,high,Hello! I understand you may be frustrated. I'm here to help and I'll do everything I can to sort this out.,Hi there! Welcome to our support service. What can I help you with?,present_main_menu,yes,P1,0.9205421886916676,1722
conv_1362,user_7983,sess_4383,2026-02-11T12:25:16.469671,chat,en,mobile,returning,1,,i need urgent assistance,{},human_agent,escalation,neutral,medium,Connecting you to a human agent. Please hold on while I transfer the conversation.,,transfer_to_live_agent,yes,P2,0.818938866247135,1242
conv_22,user_8777,sess_4397,2026-02-05T12:25:16.424147,chat,en,mobile,new,1,,estimated delivery date,{},order_status,order_management,neutral,low,Your order status shows it's processing. Expected delivery is 3–5 business days from dispatch.,,lookup_order_by_id,no,P4,0.8927307268778388,758
conv_916,user_5236,sess_4405,2025-04-24T12:25:16.454506,email,en,tablet,returning,1,,csat survey,{},feedback,feedback_and_general,negative,low,I'm sorry the experience didn't meet your expectations. We value your feedback and will use it to make things better.,,log_feedback_ticket,no,P4,0.9598092753509042,1250
conv_1355,user_5909,sess_4412,2026-04-12T12:25:16.469375,chat,en,mobile,returning,1,,get me your supervisor,{},human_agent,escalation,positive,low,Sure! Let me transfer you to one of our support specialists. Your wait time is approximately 2–3 minutes.,,transfer_to_live_agent,yes,P2,0.7433470030305529,1873
conv_1143,user_5264,sess_4422,2025-08-23T12:25:16.462624,web,en,desktop,returning,1,,smooth experience,{},thanks,conversation_flow,neutral,high,You're welcome! Let me know if there's anything else I can assist you with.,,check_if_resolved,no,P4,0.7983858342571475,1230
conv_533,user_7229,sess_4424,2026-01-16T12:25:16.441782,chat,en,desktop,returning,1,,remove device from account,{},account_help,account,negative,low,I'm sorry you're having trouble with your account. Let me prioritize getting this resolved for you right away.,,authenticate_and_load_account,no,P4,0.7564143663841749,661
conv_468,user_8544,sess_4430,2025-09-10T12:25:16.439709,chat,en,tablet,new,1,,loading forever,{},technical_support,technical,neutral,high,I can help you with the technical issue. Please describe what's happening and I'll walk you through the steps.,,run_diagnostic_check,no,P4,0.7960378116246347,1918
conv_889,user_7611,sess_4432,2026-03-13T12:25:16.453643,mobile_app,en,desktop,new,1,,i will definitely come back,{},feedback,feedback_and_general,positive,medium,That's wonderful to hear! Your kind words mean a lot to the whole team. We'll keep up the good work!,,log_feedback_ticket,no,P3,0.8036683004911777,823
conv_1342,user_1526,sess_4434,2025-09-09T12:25:16.468961,email,en,desktop,returning,1,,i have been waiting too long,{},human_agent,escalation,negative,high,I'm so sorry for the difficulty. I'm escalating this to a live agent right now who will handle your case urgently.,,transfer_to_live_agent,yes,P1,0.7243858039643767,991
conv_39,user_3896,sess_4444,2026-01-24T12:25:16.424702,mobile_app,en,mobile,new,1,,did my order ship,{},order_status,order_management,neutral,high,I've located your order. It's currently being prepared for shipping. You'll get a notification once it's dispatched.,,lookup_order_by_id,no,P4,0.9787555057841446,1532
conv_84,user_3727,sess_4446,2025-06-26T12:25:16.426640,mobile_app,en,tablet,new,1,,only part of my order arrived,{},order_status,order_management,neutral,low,Your order status shows it's processing. Expected delivery is 3–5 business days from dispatch.,,lookup_order_by_id,no,P4,0.9570201942130614,557
conv_51,user_8428,sess_4446,2025-12-16T12:25:16.425093,mobile_app,en,tablet,new,2,only part of my order arrived,how do i find my tracking number,{},order_status,order_management,positive,medium,Great news — your order has been dispatched and is on its way! You should receive it soon.,Your order status shows it's processing. Expected delivery is 3–5 business days from dispatch.,lookup_order_by_id,no,P3,0.8989502421072668,1945
conv_1236,user_4852,sess_4454,2026-01-24T12:25:16.465621,web,en,desktop,returning,1,,tracking email,{},shipping_info,order_management,positive,medium,Great news — we offer several shipping methods including same-day in select areas. Want me to check your location?,,fetch_shipping_rates,no,P3,0.9165443154355468,1846
conv_967,user_2349,sess_4457,2025-11-11T12:25:16.456153,email,en,desktop,new,1,,yo,{},greeting,conversation_flow,neutral,high,Hi! I'm your virtual assistant. What do you need help with today?,,present_main_menu,no,P4,0.7168792756169109,1134
